SN,Country,Date Since
1,Afghanistan ,1-Jul-61
2,Albania ,23-May-72
3,Algeria ,29-Apr-68
4,Andorra ,22-Sep-06
5,Argentina ,1-Jan-62
6,Armenia ,26-Mar-93
7,Australia ,15-Feb-60
8,Austria ,15-Aug-59
9,Azerbaijan ,28-Feb-95
10,Bahrain ,13-Jan-77
11,Bangladesh ,8-Apr-72
12,Belarus ,19-Jul-93
13,Belgium ,19-Aug-63
14,Bhutan ,3-Jun-83
15,Bolivia ,21-May-87
16,Bosnia Herzegovina,12-Jan-00
17,Botswana ,8-Jan-09
18,Brazil ,7-Feb-76
19,Brunei ,3-Feb-84
20,Bulgaria ,15-Apr-68
21,Cambodia (Kampuchea),18-Apr-75
22,Canada ,18-Jan-65
23,Chile ,1962
24,Colombia ,7-May-87
25,Congo ,22-Sep-06
26,Costa Rica ,16-Aug-77
27,Croatia ,6-Feb-98
28,Cuba ,25-Mar-75
29,Cyprus ,18-Aug-80
30,Czech Republic ,2-Mar-94
31,Denmark ,15-Dec-67
32,Dominican Republic ,28-Sep-07
33,DPR of Korea,15-May-74
34,Egypt ,16-Jul-57
35,Equator,21-Jun-06
36,Estonia ,20-Apr-92
37,Ethiopia ,15-Apr-71
38,Fiji ,12-Jun-86
39,Finland ,21-Sep-74
40,FR of Germany,4-Apr-58
41,France ,20-Apr-49
42,Gabon Republic ,17-Jun-85
43,Georgia ,22-Sep-05
44,Greece ,2-Feb-60
45,Guatemala ,8-Aug-06
46,Guyana ,22-Jun-94
47,Haiti ,23-May-07
48,Holy See,10-Sep-83
49,Honduras ,18-Aug-06
50,Hungary ,15-Jan-61
51,Iceland ,25-May-81
52,India ,13-Jun-47
53,Indonesia ,25-Dec-60
54,Iran ,14-Dec-64
55,Iraq ,30-Oct-68
56,Ireland ,19-Aug-99
57,Israel ,1-Jun-60
58,Italy ,31-Aug-59
59,Japan ,28-Jul-56
60,Jordan ,20-Aug-65
61,Kenya ,3-Jun-75
62,Kuwait ,25-Feb-72
63,Kyrgyzstan ,26-Mar-93
64,Laos ,20-May-60
65,Latvia ,20-Apr-92
66,Lebanon ,18-Aug-63
67,Lesotho ,18-May-10
68,Libya ,30-Dec-75
69,Lithuania ,8-Feb-05
70,Luxembourg ,27-Nov-75
71,Macedonia ,6-Jan-98
72,Malaysia ,1-Jan-60
73,Maldives ,1-Aug-80
74,Mali ,19-Nov-09
75,Malta ,25-Sep-83
76,Mauritius ,12-Feb-81
77,Mexico ,25-Nov-75
78,Moldova ,20-Jul-93
79,Mongolia ,5-Jan-61
80,Montenegro ,18-Jul-11
81,Morocco ,18-Feb-75
82,Mozambique ,30-Sep-86
83,Myanmar (Burma),19-Mar-60
84,Netherlands ,2-Apr-60
85,New Zealand ,May-61
86,Nicaragua ,5-Oct-86
87,Nigeria ,20-Dec-75
88,Norway ,26-Jan-73
89,Oman ,21-Jan-77
90,Pakistan ,20-Mar-60
91,Panama ,15-Feb-84
92,Paraguay ,2-Aug-06
93,Peru ,28-Jan-76
94,Philippines ,12-Feb-60
95,Poland ,25-Nov-59
96,Portugal ,1-Sep-76
97,PR of China,1-Aug-55
98,Qatar ,21-Jan-77
99,Republic of Korea ,15-May-74
100,Republic of Tajikistan ,13-Sep-05
101,Romania ,20-Apr-68
102,Russian Federation ,20-Jul-56
103,Saint Vincent ,27-Sep-07
104,Sanmarino,10-Aug-05
105,Saudi Arabia ,15-Mar-77
106,Seychelles ,10-Oct-96
107,Singapore ,25-Mar-69
108,Slovak Republic ,4-Mar-94
109,Slovenia ,2-Dec-97
110,Solomon Island ,15-Dec-11
111,Somalia ,24-Oct-84
112,South Africa ,28-Jul-94
113,Spain ,13-May-68
114,Sri Lanka ,1-Jul-57
115,Sudan ,11-Jul-69
116,Sweden ,10-Jun-60
117,Switzerland ,10-Nov-59
118,Syria ,26-Feb-70
119,Tanzania ,10-Jan-75
120,Thailand ,30-Nov-60
121,Tunisia ,14-Apr-84
122,Turkey ,15-Nov-62
123,Turkmenistan ,17-Oct-05
124,Ukraine ,15-Jan-93
125,United Arab Emirates ,22-Jan-77
126,United Kingdom ,1816
127,USA ,25-Apr-47
128,Vanuatu ,19-Sep-06
129,Venezuela ,28-Apr-87
130,Vietnam ,15-May-75
131,Yemen ,25-Dec-85
132,Zambia ,10-Sep-86
133,Zimbabwe ,27-Nov-84
