sn,summit,date,venue
1,1st Summit,1985,Dhaka
2,2nd Summit,1986,Banglore
3,3rd Summit,1987,Kathmandu
4,4th Summit,1988,Islamabad
5,5th Summit,1990,Male
6,6th Summit,1991,Colombo
7,7th Summit,1993,Dhaka
8,8th Summit,1995,New Delhi
9,9th Summit,1997,Male
10,10th Summit,1998,Colombo
11,11th Summit,2002,Kathmandu
12,12th Summit,2004,Islamabad
13,13th Summit,2005,Dhaka
14,14th Summit,2007,New Delhi
15,15th Summit,2008,Colombo
16,16th Summit,2010,Thimpu
17,17th Summit,2011,Male
18,18th Summit,2014,Kathmandu
19,19th Summit,,Pakistan
20,20th Summit,,
